concurso;d1;d2;d3;d4;d5;d5;d7;mes_sorte
1;3;5;8;9;19;21;30;2
2;8;11;12;14;20;21;28;12
3;11;12;21;24;25;28;29;4
4;6;7;13;15;18;19;29;1
5;2;8;9;17;19;24;28;12
6;1;11;18;19;26;30;31;2
7;2;5;6;14;20;24;25;1
8;1;4;13;21;22;24;27;9
9;3;10;13;18;19;23;24;8
10;6;10;13;18;19;20;30;8
11;7;13;16;19;20;27;31;9
12;2;3;7;12;17;21;22;9
13;1;4;7;9;20;21;26;4
14;1;8;16;20;21;26;31;11
15;8;11;13;16;26;28;29;11
16;1;2;7;12;16;20;25;10
17;9;11;13;14;19;20;22;6
18;4;7;8;14;21;27;31;6
19;3;4;9;12;14;28;29;10
20;6;12;17;21;26;29;31;10
21;2;8;10;11;12;18;31;3
22;2;4;5;12;18;22;27;7
23;9;10;17;19;25;27;28;5
24;7;8;12;15;16;18;30;10
25;1;10;13;17;21;25;29;7
26;2;8;10;11;16;20;28;8
27;6;12;15;17;20;23;28;2
28;2;9;12;15;18;20;24;11
29;3;5;13;21;22;24;27;2
30;4;8;9;17;20;27;30;11
31;4;6;7;9;11;24;28;6
32;3;4;7;16;18;20;27;3
33;3;10;12;13;23;28;31;9
34;6;12;15;18;23;27;29;12
35;3;7;11;12;17;22;23;11
36;2;7;11;12;13;16;27;6
37;2;7;12;16;18;22;23;1
38;8;15;17;18;26;29;30;7
39;4;5;6;9;13;25;30;3
40;2;10;12;14;19;21;27;9
41;7;12;23;25;27;30;31;12
42;6;11;14;16;17;29;31;6
43;4;7;17;18;27;28;31;4
44;7;9;15;23;26;30;31;6
45;2;5;7;12;15;29;30;9
46;1;4;5;8;10;16;30;8
47;5;7;13;15;16;20;22;9
48;6;8;10;17;23;29;31;4
49;4;11;16;17;20;23;31;1
50;14;16;17;18;22;23;31;9
51;2;8;10;14;16;24;28;9
52;7;12;14;20;22;24;26;9
53;3;7;16;18;19;25;30;4
54;4;11;18;21;24;25;27;8
55;1;8;16;18;22;25;28;10
56;9;10;15;16;17;23;31;12
57;3;5;10;12;18;26;28;10
58;11;12;13;24;25;29;30;8
59;3;4;5;8;10;24;25;10
60;1;6;7;8;17;18;22;10
61;5;8;10;13;19;25;28;4
62;7;11;13;18;23;28;30;12
63;2;3;6;9;27;28;29;8
64;5;6;8;17;18;20;27;1
65;7;20;21;27;28;30;31;2
